document_url,length
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-185140-26.mp3,78.192
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-182025-30.mp3,581.76
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-181034-18.mp3,330.336
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-180447-4.mp3,7.272
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-180407-16.mp3,17.136
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-172820-14.mp3,72.288
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-172654-6.mp3,33.912
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-143154-4.mp3,91.008
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-142634-30.mp3,36.36
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-141906-6.mp3,23.04
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-141523-18.mp3,56.952
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-141356-30.mp3,23.256
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-134824-14.mp3,51.336
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-134623-2.mp3,380.52
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-122428-6.mp3,94.464
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-233703-22.mp3,23.4
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-231812-14.mp3,37.728
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-231341-28.mp3,50.184
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-230714-14.mp3,66.024
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-221320-16.mp3,221.04
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-210456-16.mp3,48.096
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-202829-30.mp3,22.104
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-195751-22.mp3,35.424
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-195435-4.mp3,33.768
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-191319-14.mp3,241.416
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-185212-12.mp3,37.368
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-18-185043-22.mp3,56.808
